"Event Category","Event Action","Event Label","Total Events","Users","Event Value","Time on Page","Time on Screen"
"Terms Board -- GOLD_18","lc-reading -- myfembree-approved-for-heavy-menstrual-bleeding-associated-with-uterine-fibroids","text -- pfizer -- --",30,1,30,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","termsboard-tems-display -- whereBox -- consistent","viz -- astrazeneca",29,1,29,"00:00:00","00:00:00"
"Terms Board -- GOLD_16","lc-reading -- pfizer-biontech-covid-19-vaccine-shelf-life-extended-to-31-days","text -- pfizer -- --",29,1,29,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-tems-display -- whoBox -- consistent","viz -- astrazeneca",29,1,29,"00:00:00","00:00:00"
"Terms Board -- GOLD_4","termsboard-tems-display -- whatActionBox -- consistent","viz -- astrazeneca",29,1,29,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-tems-display -- whyNegativeBox -- consistent","viz -- astrazeneca",27,1,27,"00:00:00","00:00:00"
"Terms Board -- GOLD_11","termsboard-tems-display -- whatTopicBox -- consistent","viz -- astrazeneca",26,1,26,"00:00:00","00:00:00"
"Terms Board -- GOLD_28","lc-reading -- pfizer-adds-3-5-billion-in-first-quarter-vaccine-sales","text -- pfizer -- --",23,1,23,"00:00:00","00:00:00"
"Terms Board -- GOLD_11","termsboard-tems-display -- whyPositiveBox -- consistent","viz -- astrazeneca",22,1,22,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","termsboard-tems-display -- whatTopicBox -- new_to_old","viz -- astrazeneca",21,1,21,"00:00:00","00:00:00"
"Terms Board -- GOLD_28","lc-reading -- myfembree-approved-for-heavy-menstrual-bleeding-associated-with-uterine-fibroids","text -- pfizer -- --",21,1,21,"00:00:00","00:00:00"
"Terms Board -- GOLD_31","termsboard-tems-display -- whoBox -- consistent","viz -- astrazeneca",21,1,21,"00:00:00","00:00:00"
"Terms Board -- GOLD_16","lc-reading -- pfizer-takes-aim-at-coronavirus-and-vaccines-market","text -- pfizer -- --",20,1,20,"00:00:00","00:00:00"
"Terms Board -- GOLD_11","termsboard-tems-display -- whatTopicBox -- old_to_new","viz -- astrazeneca",19,1,19,"00:00:00","00:00:00"
"Terms Board -- GOLD_16","lc-reading -- vaccines-seem-effective-against-brazilian-variant","text -- pfizer -- --",19,1,19,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-tems-display -- whereBox -- consistent","viz -- astrazeneca",19,1,19,"00:00:00","00:00:00"
"Terms Board -- GOLD_28","lc-reading -- latest-pfizer-biontech-results-offer-youthful-optimism","text -- pfizer -- --",19,1,19,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-tems-display -- whyPositiveBox -- old_to_new","viz -- astrazeneca",18,1,18,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","lc-reading -- latest-pfizer-biontech-results-offer-youthful-optimism","text -- pfizer -- --",17,1,17,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","termsboard-tems-display -- whoBox -- consistent","viz -- astrazeneca",17,1,17,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-tems-display -- whatActionBox -- consistent","viz -- astrazeneca",17,1,17,"00:00:00","00:00:00"
"Terms Board -- GOLD_28","lc-reading -- trial-in-children-could-help-increase-vaccine-coverage","text -- pfizer -- --",17,1,17,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","lc-reading -- vaccine-companies-shareholders-profits-would-pay-to-vaccinate-africa-say-campaigners","text -- pfizer -- --",16,1,16,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-tems-display -- whatTopicBox -- consistent","viz -- astrazeneca",16,1,16,"00:00:00","00:00:00"
