"Event Category","Event Action","Event Label","Total Events","Users","Event Value","Time on Page","Time on Screen"
"Terms Board -- GOLD_16","lc-start-read -- myfembree-approved-for-heavy-menstrual-bleeding-associated-with-uterine-fibroids","text -- pfizer -- -- -- 2021-10-22 18:57:42",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_16","lc-start-read -- pfizer-biontech-covid-19-vaccine-shelf-life-extended-to-31-days","text -- pfizer -- -- -- 2021-10-22 18:59:2",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_16","lc-start-read -- pfizer-takes-aim-at-coronavirus-and-vaccines-market","text -- pfizer -- -- -- 2021-10-22 19:0:24",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_16","lc-start-read -- uk-study-shows-robust-vaccine-effectiveness-against-indian-strain","text -- pfizer -- -- -- 2021-10-22 18:58:21",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_16","lc-start-read -- vaccines-seem-effective-against-brazilian-variant","text -- pfizer -- -- -- 2021-10-22 19:0:32",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_16","text -- pfizer -- pfizer-biontech-covid-19-vaccine-shelf-life-extended-to-31-days -- mouseover"," --",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_17","termsboard-tems-display -- whatActionBox -- old_to_new","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","lc-start-read -- ec-signs-up-for-1-8-billion-additional-doses-of-comirnaty","text -- pfizer -- -- -- 2021-10-24 13:49:40",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","lc-start-read -- ec-signs-up-for-1-8-billion-additional-doses-of-comirnaty","text -- pfizer -- -- -- 2021-10-24 14:12:27",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","lc-start-read -- myfembree-approved-for-heavy-menstrual-bleeding-associated-with-uterine-fibroids","text -- pfizer -- -- -- 2021-10-24 13:49:29",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","lc-start-read -- myfembree-approved-for-heavy-menstrual-bleeding-associated-with-uterine-fibroids","text -- pfizer -- -- -- 2021-10-24 14:11:57",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","lc-start-read -- myfembree-approved-for-heavy-menstrual-bleeding-associated-with-uterine-fibroids","text -- pfizer -- -- -- 2021-10-24 14:12:15",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","lc-start-read -- pfizer-biontech-covid-19-vaccine-shelf-life-extended-to-31-days","text -- pfizer -- -- -- 2021-10-24 13:49:34",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","lc-start-read -- pfizer-biontech-covid-19-vaccine-shelf-life-extended-to-31-days","text -- pfizer -- -- -- 2021-10-24 14:12:21",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","lc-start-read -- sosei-heptares-hits-milestone-in-pfizer-collaboration","text -- pfizer -- -- -- 2021-10-24 13:49:36",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","lc-start-read -- sosei-heptares-hits-milestone-in-pfizer-collaboration","text -- pfizer -- -- -- 2021-10-24 14:12:24",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","lc-start-read -- uk-study-shows-robust-vaccine-effectiveness-against-indian-strain","text -- pfizer -- -- -- 2021-10-24 13:49:31",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","lc-start-read -- uk-study-shows-robust-vaccine-effectiveness-against-indian-strain","text -- pfizer -- -- -- 2021-10-24 14:12:18",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","lc-start-read -- uk-study-shows-robust-vaccine-effectiveness-against-indian-strain","text -- pfizer -- -- -- 2021-10-24 14:12:5",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","termsboard-tems-display -- whatTopicBox -- old_to_new","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","text -- pfizer -- copy","summary -- 12",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","text -- pfizer -- myfembree-approved-for-heavy-menstrual-bleeding-associated-with-uterine-fibroids -- copyFromLC","lc_text_display -- 668",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","text -- pfizer -- uk-study-shows-robust-vaccine-effectiveness-against-indian-strain -- mouseover"," --",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","lc-start-read -- coronavirus-vaccine-approved-for-use-in-children","text -- pfizer -- -- -- 2021-10-15 13:35:49",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","lc-start-read -- coronavirus-vaccine-approved-for-use-in-children","text -- pfizer -- -- -- 2021-10-15 13:52:15",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","lc-start-read -- eu-sues-vaccine-developer-while-usa-donates-excess-supplies","viz -- astrazeneca -- whoBox -- consistent -- 2021-10-15 14:0:29",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","lc-start-read -- march-april-2021-pharmaceutical-m-a-round-up","text -- pfizer -- -- -- 2021-10-15 13:34:41",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","lc-start-read -- myfembree-approved-for-heavy-menstrual-bleeding-associated-with-uterine-fibroids","text -- pfizer -- -- -- 2021-10-15 13:26:28",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","lc-start-read -- pfizer-adds-3-5-billion-in-first-quarter-vaccine-sales","text -- pfizer -- -- -- 2021-10-15 13:53:56",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","lc-start-read -- sosei-heptares-hits-milestone-in-pfizer-collaboration","text -- pfizer -- -- -- 2021-10-15 13:30:11",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","lc-start-read -- us-cdc-recommends-use-of-pfizer-biontech-jab-in-adolescents","text -- pfizer -- -- -- 2021-10-15 13:31:38",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","lc-start-read -- vaccine-companies-shareholders-profits-would-pay-to-vaccinate-africa-say-campaigners","text -- pfizer -- -- -- 2021-10-15 13:42:18",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","termsboard-modal-document-link-click","viz -- astrazeneca",1,1,0,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","termsboard-modal-open -- whoBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","termsboard-related-document-display -- whoBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","termsboard-tems-display -- whereBox -- new_to_old","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","text -- pfizer -- copy","termBoardDescription -- 6",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","text -- pfizer -- copy","Unknown -- 31",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","text -- pfizer -- copy","Unknown -- 45",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","text -- pfizer -- coronavirus-vaccine-approved-for-use-in-children -- copyFromLC","Unknown -- 13",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","text -- pfizer -- us-cdc-recommends-use-of-pfizer-biontech-jab-in-adolescents -- copyFromLC","lc_text_display -- 130",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","text -- pfizer -- vaccine-companies-shareholders-profits-would-pay-to-vaccinate-africa-say-campaigners -- copyFromLC","lc_text_display -- 306",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","text -- pfizer -- vaccine-companies-shareholders-profits-would-pay-to-vaccinate-africa-say-campaigners -- mouseover"," --",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","viz -- astrazeneca -- eu-sues-vaccine-developer-while-usa-donates-excess-supplies -- mouseover","whoBox -- consistent",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","lc-start-read -- astrazeneca-starts-mass-global-rollout-of-covid-19-vaccine-through-covax","viz -- astrazeneca -- -- -- 2021-10-25 8:53:43",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","lc-start-read -- latest-pfizer-biontech-results-offer-youthful-optimism","text -- pfizer -- -- -- 2021-10-25 8:41:20",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","lc-start-read -- latest-pfizer-biontech-results-offer-youthful-optimism","text -- pfizer -- -- -- 2021-10-25 8:47:26",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","lc-start-read -- pfizer-expands-anti-infectives-pipeline-with-acquisition","text -- pfizer -- -- -- 2021-10-25 8:45:37",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","lc-start-read -- pfizer-expands-anti-infectives-pipeline-with-acquisition","text -- pfizer -- -- -- 2021-10-25 8:46:25",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","lc-start-read -- tagrisso-goes-full-steam-ahead-with-new-eu-approval","viz -- astrazeneca -- -- -- 2021-10-25 8:53:14",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","termsboard-tems-display -- whatTopicBox -- old_to_new","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","text -- pfizer -- copy","summary -- 6",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","text -- pfizer -- copy","summary -- 7",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","text -- pfizer -- pfizer-expands-anti-infectives-pipeline-with-acquisition -- copyFromLC","lc_text_display -- 1172",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","viz -- astrazeneca -- astrazeneca-starts-mass-global-rollout-of-covid-19-vaccine-through-covax -- copyFromLC","home -- 3237",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","viz -- astrazeneca -- astrazeneca-starts-mass-global-rollout-of-covid-19-vaccine-through-covax -- mouseover"," --",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","lc-reading -- ema-finds-possible-link-of-astrazeneca-s-covid-19-vaccine-with-rare-blood-clots","viz -- astrazeneca -- whyPositiveBox -- consistent",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","lc-start-read -- ema-finds-possible-link-of-astrazeneca-s-covid-19-vaccine-with-rare-blood-clots","viz -- astrazeneca -- whyPositiveBox -- consistent -- 2021-10-26 17:9:35",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","lc-start-read -- eu-sues-vaccine-developer-while-usa-donates-excess-supplies","viz -- astrazeneca -- whatActionBox -- consistent -- 2021-10-26 17:9:1",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","lc-start-read -- full-program-for-astrazeneca-at-asco-2021","viz -- astrazeneca -- whatActionBox -- consistent -- 2021-10-26 17:9:7",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","lc-start-read -- full-program-for-astrazeneca-at-asco-2021","viz -- astrazeneca -- whatTopicBox -- consistent -- 2021-10-26 17:8:28",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","lc-start-read -- pfizer-biontech-covid-19-vaccine-shelf-life-extended-to-31-days","text -- pfizer -- -- -- 2021-10-26 16:53:57",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","lc-start-read -- uk-study-shows-robust-vaccine-effectiveness-against-indian-strain","text -- pfizer -- -- -- 2021-10-26 16:53:43",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","lc-start-read -- uk-study-shows-robust-vaccine-effectiveness-against-indian-strain","text -- pfizer -- -- -- 2021-10-26 17:6:1",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","lc-start-read -- us-cdc-recommends-use-of-pfizer-biontech-jab-in-adolescents","text -- pfizer -- -- -- 2021-10-26 16:54:24",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-modal-open -- whatActionBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-modal-open -- whatTopicBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-modal-open -- whereBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-modal-open -- whereBox -- old_to_new","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-modal-open -- whyPositiveBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-modal-open -- whyPositiveBox -- old_to_new","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","text -- pfizer -- pfizer-biontech-covid-19-vaccine-shelf-life-extended-to-31-days -- copyFromLC","publishedDate -- 10",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_28","lc-start-read -- coronavirus-vaccine-approved-for-use-in-children","text -- pfizer -- -- -- 2021-11-2 16:57:6",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_28","lc-start-read -- latest-pfizer-biontech-results-offer-youthful-optimism","text -- pfizer -- -- -- 2021-11-2 16:59:16",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_28","lc-start-read -- myfembree-approved-for-heavy-menstrual-bleeding-associated-with-uterine-fibroids","text -- pfizer -- -- -- 2021-11-2 16:54:44",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_28","lc-start-read -- pfizer-adds-3-5-billion-in-first-quarter-vaccine-sales","text -- pfizer -- -- -- 2021-11-2 16:58:31",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_28","lc-start-read -- pfizer-and-biontech-initiate-fda-rolling-bla-submission-for-their-covid-19-vaccine","text -- pfizer -- -- -- 2021-11-2 16:55:37",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_28","lc-start-read -- trial-in-children-could-help-increase-vaccine-coverage","text -- pfizer -- -- -- 2021-11-2 16:59:35",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_28","text -- pfizer -- coronavirus-vaccine-approved-for-use-in-children -- mouseover"," --",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_28","text -- pfizer -- pfizer-and-biontech-initiate-fda-rolling-bla-submission-for-their-covid-19-vaccine -- copyFromLC","lc_text_display -- 62",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","lc-start-read -- ema-finds-possible-link-of-astrazeneca-s-covid-19-vaccine-with-rare-blood-clots","viz -- astrazeneca -- whyNegativeBox -- consistent -- 2021-10-16 11:20:48",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-modal-document-link-click","viz -- astrazeneca",1,1,0,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-modal-open -- whatActionBox -- old_to_new","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-modal-open -- whereBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-modal-open -- whereBox -- old_to_new","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-modal-open -- whyNegativeBox -- old_to_new","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-related-document-display -- whatActionBox -- old_to_new","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-related-document-display -- whereBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-related-document-display -- whereBox -- old_to_new","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-related-document-display -- whoBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-related-document-display -- whyNegativeBox -- old_to_new","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-tems-display -- whatActionBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-tems-display -- whyPositiveBox -- old_to_new","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_30","lc-start-read -- myfembree-approved-for-heavy-menstrual-bleeding-associated-with-uterine-fibroids","text -- pfizer -- -- -- 2021-11-7 16:55:4",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_30","lc-start-read -- pfizer-biontech-covid-19-vaccine-shelf-life-extended-to-31-days","text -- pfizer -- -- -- 2021-11-7 16:55:39",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_30","lc-start-read -- pfizer-takes-aim-at-coronavirus-and-vaccines-market","text -- pfizer -- -- -- 2021-11-7 16:56:33",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_30","lc-start-read -- uk-study-shows-robust-vaccine-effectiveness-against-indian-strain","text -- pfizer -- -- -- 2021-11-7 16:55:33",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_4","lc-start-read -- myfembree-approved-for-heavy-menstrual-bleeding-associated-with-uterine-fibroids","text -- pfizer -- -- -- 2021-10-16 13:55:54",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_4","lc-start-read -- pfizer-adds-3-5-billion-in-first-quarter-vaccine-sales","text -- pfizer -- -- -- 2021-10-16 13:58:46",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_4","lc-start-read -- record-breaking-sales-of-24-8bn-by-2021-predicted-for-pfizer-biontech-s-vaccine","text -- pfizer -- -- -- 2021-10-16 13:58:37",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_4","lc-start-read -- trial-in-children-could-help-increase-vaccine-coverage","text -- pfizer -- -- -- 2021-10-16 13:58:28",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_4","lc-start-read -- vaccines-seem-effective-against-brazilian-variant","text -- pfizer -- -- -- 2021-10-16 13:58:19",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_4","termsboard-modal-open -- whoBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_9","termsboard-modal-open -- whereBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_9","termsboard-modal-open -- whereBox -- new_to_old","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_9","termsboard-modal-open -- whoBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
